新文件名,原文件名,源照片,位置(1左上 2右上 3左下 4右下)
sxs2026092200001.jpg,IMG_0766_1.jpg,IMG_0766.HEIC,1
sxs2026092200002.jpg,IMG_0782_2.jpg,IMG_0782.HEIC,2
sxs2026092200003.jpg,IMG_0481_4.jpg,IMG_0481.HEIC,4
sxs2026092200004.jpg,IMG_0641_2.jpg,IMG_0641.HEIC,2
sxs2026092200005.jpg,IMG_0558_4.jpg,IMG_0558.HEIC,4
sxs2026092200006.jpg,IMG_0500_3.jpg,IMG_0500.HEIC,3
sxs2026092200007.jpg,IMG_0628_2.jpg,IMG_0628.HEIC,2
sxs2026092200008.jpg,IMG_0489_3.jpg,IMG_0489.HEIC,3
sxs2026092200009.jpg,IMG_0667_2.jpg,IMG_0667.HEIC,2
sxs2026092200010.jpg,IMG_0640_2.jpg,IMG_0640.HEIC,2
sxs2026092200011.jpg,IMG_0643_1.jpg,IMG_0643.HEIC,1
sxs2026092200012.jpg,IMG_0633_4.jpg,IMG_0633.HEIC,4
sxs2026092200013.jpg,IMG_0482_1.jpg,IMG_0482.HEIC,1
sxs2026092200014.jpg,IMG_0690_3.jpg,IMG_0690.HEIC,3
sxs2026092200015.jpg,IMG_0625_2.jpg,IMG_0625.HEIC,2
sxs2026092200016.jpg,IMG_0504_1.jpg,IMG_0504.HEIC,1
sxs2026092200017.jpg,IMG_0714_4.jpg,IMG_0714.HEIC,4
sxs2026092200018.jpg,IMG_0602_2.jpg,IMG_0602.HEIC,2
sxs2026092200019.jpg,IMG_0591_3.jpg,IMG_0591.HEIC,3
sxs2026092200020.jpg,IMG_0589_2.jpg,IMG_0589.HEIC,2
sxs2026092200021.jpg,IMG_0717_3.jpg,IMG_0717.HEIC,3
sxs2026092200022.jpg,IMG_0791_2.jpg,IMG_0791.HEIC,2
sxs2026092200023.jpg,IMG_0651_4.jpg,IMG_0651.HEIC,4
sxs2026092200024.jpg,IMG_0638_3.jpg,IMG_0638.HEIC,3
sxs2026092200025.jpg,IMG_0775_1.jpg,IMG_0775.HEIC,1
sxs2026092200026.jpg,IMG_0644_2.jpg,IMG_0644.HEIC,2
sxs2026092200027.jpg,IMG_0684_1.jpg,IMG_0684.HEIC,1
sxs2026092200028.jpg,IMG_0472_2.jpg,IMG_0472.HEIC,2
sxs2026092200029.jpg,IMG_0590_3.jpg,IMG_0590.HEIC,3
sxs2026092200030.jpg,IMG_0597_2.jpg,IMG_0597.HEIC,2
sxs2026092200031.jpg,IMG_0530_4.jpg,IMG_0530.HEIC,4
sxs2026092200032.jpg,IMG_0600_1.jpg,IMG_0600.HEIC,1
sxs2026092200033.jpg,IMG_0553_4.jpg,IMG_0553.HEIC,4
sxs2026092200034.jpg,IMG_0537_4.jpg,IMG_0537.HEIC,4
sxs2026092200035.jpg,IMG_0573_2.jpg,IMG_0573.HEIC,2
sxs2026092200036.jpg,IMG_0494_1.jpg,IMG_0494.HEIC,1
sxs2026092200037.jpg,IMG_0523_3.jpg,IMG_0523.HEIC,3
sxs2026092200038.jpg,IMG_0710_1.jpg,IMG_0710.HEIC,1
sxs2026092200039.jpg,IMG_0650_1.jpg,IMG_0650.HEIC,1
sxs2026092200040.jpg,IMG_0489_4.jpg,IMG_0489.HEIC,4
sxs2026092200041.jpg,IMG_0770_3.jpg,IMG_0770.HEIC,3
sxs2026092200042.jpg,IMG_0608_3.jpg,IMG_0608.HEIC,3
sxs2026092200043.jpg,IMG_0604_4.jpg,IMG_0604.HEIC,4
sxs2026092200044.jpg,IMG_0652_4.jpg,IMG_0652.HEIC,4
